id,name
http://www_wikidata_org/entity/Q105988888,Alcina Dimitrescu
http://www_wikidata_org/entity/Q106015144,Isaac of York
http://www_wikidata_org/entity/Q1060406,Echuu Shen-Jon
http://www_wikidata_org/entity/Q106066575,Talhand
http://www_wikidata_org/entity/Q106075745,Malhun Hatun
http://www_wikidata_org/entity/Q10608098,Q10608098
http://www_wikidata_org/entity/Q106091622,Süleyman Şah
http://www_wikidata_org/entity/Q1061574,Darth Millennial
http://www_wikidata_org/entity/Q1061765,Sanji
http://www_wikidata_org/entity/Q1061793,Tanis Half-Elven
http://www_wikidata_org/entity/Q1062665,MSZ-010 ZZ Gundam
http://www_wikidata_org/entity/Q106283152,Emma Keane
http://www_wikidata_org/entity/Q106283165,Sadiq Nawaz
http://www_wikidata_org/entity/Q106299851,Raiden Shuga
http://www_wikidata_org/entity/Q106299937,Kaie Tanya
http://www_wikidata_org/entity/Q106303138,Maina Atomika
http://www_wikidata_org/entity/Q1063506,Crash Bandicoot
http://www_wikidata_org/entity/Q106372315,Jack Horner
http://www_wikidata_org/entity/Q106379094,11-4D
http://www_wikidata_org/entity/Q106391432,Christine Nelson
http://www_wikidata_org/entity/Q106392724,Eldred Worple
http://www_wikidata_org/entity/Q1064086,Gong Zhi
http://www_wikidata_org/entity/Q106411015,Hildur
http://www_wikidata_org/entity/Q106433297,Keisei Katsuragi
http://www_wikidata_org/entity/Q106465618,Jack Sprat and wife
http://www_wikidata_org/entity/Q106477775,Pavel
http://www_wikidata_org/entity/Q106477804,Reinhold
http://www_wikidata_org/entity/Q1064787,Goldie O'Gilt
http://www_wikidata_org/entity/Q106484089,Tant Andersson
http://www_wikidata_org/entity/Q106486908,Ririna
http://www_wikidata_org/entity/Q106506424,Baxter Stockman
http://www_wikidata_org/entity/Q106506684,Snail
http://www_wikidata_org/entity/Q106507971,Baxter Stockman
http://www_wikidata_org/entity/Q106520524,Nite Owl
http://www_wikidata_org/entity/Q106543102,Cartiê Bressão
http://www_wikidata_org/entity/Q106543474,Sleepy Sam
http://www_wikidata_org/entity/Q106546807,The Lich
http://www_wikidata_org/entity/Q106563275,Giant
http://www_wikidata_org/entity/Q106572174,Baxter Stockman
http://www_wikidata_org/entity/Q106573219,Pike Trickfoot
http://www_wikidata_org/entity/Q106573262,Scanlan Shorthalt
http://www_wikidata_org/entity/Q106574677,Ch’rell
http://www_wikidata_org/entity/Q10657605,Q10657605
http://www_wikidata_org/entity/Q106580624,Baxter Stockman
http://www_wikidata_org/entity/Q106580651,Chris Bradford
http://www_wikidata_org/entity/Q10659043,Rönnerdahl
http://www_wikidata_org/entity/Q106611300,Tyler Ronan
http://www_wikidata_org/entity/Q106611326,Godzilla
http://www_wikidata_org/entity/Q106628798,Kala
http://www_wikidata_org/entity/Q106628801,Dask
http://www_wikidata_org/entity/Q106628806,Zak
http://www_wikidata_org/entity/Q106628807,Trib
http://www_wikidata_org/entity/Q106628813,Felix
http://www_wikidata_org/entity/Q106628816,Zenter
http://www_wikidata_org/entity/Q106628819,Gizzla
http://www_wikidata_org/entity/Q106636355,Gobzo
http://www_wikidata_org/entity/Q106636397,Razen
http://www_wikidata_org/entity/Q106636478,Edmaris Falmuth
http://www_wikidata_org/entity/Q10669457,Q10669457
http://www_wikidata_org/entity/Q106697983,Tsubaki Collbrande
http://www_wikidata_org/entity/Q106698081,Anakitty Autumn
http://www_wikidata_org/entity/Q106699603,Allen Fromel
http://www_wikidata_org/entity/Q106699804,Hogni Ragnar
http://www_wikidata_org/entity/Q1067046,Princess Zelda
http://www_wikidata_org/entity/Q106757931,AZI-3
http://www_wikidata_org/entity/Q106762728,Shaeeah Lawquane
http://www_wikidata_org/entity/Q106762775,Jek Lawquane
http://www_wikidata_org/entity/Q106777431,Hanitan
http://www_wikidata_org/entity/Q10678211,Stellan Petreus
http://www_wikidata_org/entity/Q106807080,Krang
http://www_wikidata_org/entity/Q106810654,Lord Monochromicorn
http://www_wikidata_org/entity/Q106811743,Q106811743
http://www_wikidata_org/entity/Q106811759,Q106811759
http://www_wikidata_org/entity/Q106812469,Braco
http://www_wikidata_org/entity/Q106830422,Kirari Momobami
http://www_wikidata_org/entity/Q106831595,Hawk
http://www_wikidata_org/entity/Q106890663,Meg Merrilees
http://www_wikidata_org/entity/Q106896418,Ryouko Kusakabe
http://www_wikidata_org/entity/Q106896735,Masaomi Mikimoto
http://www_wikidata_org/entity/Q106896797,Munechika Nakatsugawa
http://www_wikidata_org/entity/Q106897008,Kaguya Yamai
http://www_wikidata_org/entity/Q106929822,Cecil Palmer
http://www_wikidata_org/entity/Q106946825,Sylvando
http://www_wikidata_org/entity/Q106947020,Hiyori
http://www_wikidata_org/entity/Q106957608,You
http://www_wikidata_org/entity/Q106957659,Matsuri
http://www_wikidata_org/entity/Q106967388,Ralph de Bricassart
http://www_wikidata_org/entity/Q106980441,Michelle Nguyen
http://www_wikidata_org/entity/Q106980575,Teddy Rahal
http://www_wikidata_org/entity/Q106986232,Jaime Alcántara
http://www_wikidata_org/entity/Q10698905,Tjet
http://www_wikidata_org/entity/Q106989575,Mane Allgood
http://www_wikidata_org/entity/Q106991516,Maureen Johnson
http://www_wikidata_org/entity/Q106992843,Tamaki
http://www_wikidata_org/entity/Q107009788,Dennis
http://www_wikidata_org/entity/Q107015935,Carlos the Scientist
http://www_wikidata_org/entity/Q107024611,Leonard Burton
http://www_wikidata_org/entity/Q107025169,Mario
http://www_wikidata_org/entity/Q107025178,Lucy Tropic
http://www_wikidata_org/entity/Q107028136,Nick Valentine
http://www_wikidata_org/entity/Q107064135,Apito
http://www_wikidata_org/entity/Q107064136,Zegion
http://www_wikidata_org/entity/Q10708366,Ubbo-Sathla
http://www_wikidata_org/entity/Q107107699,Q107107699
http://www_wikidata_org/entity/Q107107789,Q107107789
http://www_wikidata_org/entity/Q107109700,Old Mortality
http://www_wikidata_org/entity/Q1071097,Gilad Pellaeon
http://www_wikidata_org/entity/Q107110057,Tia Agnamaria
http://www_wikidata_org/entity/Q107119776,The Proverb Lady
http://www_wikidata_org/entity/Q107129051,The Faceless Old Woman Who Secretly Lives in Your Home
http://www_wikidata_org/entity/Q107133468,Samara
http://www_wikidata_org/entity/Q107138664,Sir Giles Overreach
http://www_wikidata_org/entity/Q107154658,Woltje
